"Отчёт анализа ";;;;;;;;

"Паспорт хроматограммы";;;;;;;;
"Оператор:";;"";;;;;;
"Хроматограмма:";;"№1109   2024-01-24 19:05:24";;;;;;
"Файл:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 19-05-24 1109.chrx";;;;;;
"Хроматограф:";;"Хроматэк-Кристалл 5000  №: 2252360  Версия прошивки: v 03.21.17.743";;;;;;
"Метод:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 18-14-54 1108.chrx";;;;;;
"Последовательность:";;"";;;;;;
"Проба:";;"Lunaria_SAP_TAG_3";;;;;;
;;;;;;
"Объём пробы:";;"1 ";;;;;;
;;;;;;
"Разведение:";;"1";;;;;;
"Колонка:";;"";;;;;;
"Комментарии:";;"21";;;;;;

"Результат анализа";;;;;;;;
"Компонент";;;"Время
(мин)";"Площадь
(мВ*с)";;"Площадь
(%)"
"Methyl tetradecanoate";;;"13.687";"81359.677";;"0.013"
"Hexadecanoic acid, methyl ester";;;"17.506";"8737029.223";;"1.361"
"7-Hexadecenoic acid, methyl ester, (Z)-";;;"18.493";"326435.830";;"0.051"
"9-Hexadecenoic acid, methyl ester, (Z)-";;;"18.691";"57092.430";;"0.009"
"Methyl stearate";;;"22.416";"527658.703";;"0.082"
"9-Octadecenoic acid, methyl ester";;;"23.755";"118847721.556";;"18.518"
"11-Octadecenoic acid, methyl ester";;;"23.918";"2196282.027";;"0.342"
"9,12-Octadecadienoic acid, methyl ester";;;"25.772";"78026043.819";;"12.157"
"Eicosanoic acid, methyl ester";;;"27.618";"221426.124";;"0.035"
"9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-";;;"28.081";"8956396.252";;"1.395"
"cis-Methyl 11-eicosenoate";;;"28.802";"63469378.830";;"9.889"
"cis-13-Eicosenoic acid";;;"28.991";"644181.700";;"0.100"
"11,14-Eicosadienoic acid, methyl ester";;;"30.596";"872850.487";;"0.136"
"13-Docosenoic acid, methyl ester";;;"33.506";"310934932.116";;"48.446"
"Methyl 11-docosenoate";;;"33.592";"2513892.690";;"0.392"
"cis-13,16-Docasadienoic acid";;;"34.991";"1359024.243";;"0.212"
"15-Tetracosenoic acid, methyl ester";;;"37.463";"43938522.006";;"6.846"
"11,14-Eicosadienoic acid, methyl ester";;;"38.888";"101493.096";;"0.016"
"Сумма";;;"";"641811720.809";;"100.000"
"";;;;;;;;

"Оператор:";"";;;;"";;;"Страница 1 из 1"
"Отчет создан:";"2024-02-18 12:45:48";;;;;;;
"";;;;;;;;
