"Отчёт анализа ";;;;;;;;

"Паспорт хроматограммы";;;;;;;;
"Оператор:";;"";;;;;;
"Хроматограмма:";;"№1108   2024-01-24 18:14:54";;;;;;
"Файл:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 18-14-54 1108.chrx";;;;;;
"Хроматограф:";;"Хроматэк-Кристалл 5000  №: 2252360  Версия прошивки: v 03.21.17.743";;;;;;
"Метод:";;"D:\Analytic 3\Projects\Сидоров Р\.chromatograms\2024-01-24 17-28-09 1107.chrx";;;;;;
"Последовательность:";;"";;;;;;
"Проба:";;"Lunaria_SAP_TAG_2";;;;;;
;;;;;;
"Объём пробы:";;"1 ";;;;;;
;;;;;;
"Разведение:";;"1";;;;;;
"Колонка:";;"";;;;;;
"Комментарии:";;"20";;;;;;

"Результат анализа";;;;;;;;
"Компонент";;;"Время
(мин)";"Площадь
(мВ*с)";;"Площадь
(%)"
"Methyl tetradecanoate";;;"13.669";"99986.368";;"0.017"
"Hexadecanoic acid, methyl ester";;;"17.481";"8516089.579";;"1.490"
"7-Hexadecenoic acid, methyl ester, (Z)-";;;"18.476";"361950.956";;"0.063"
"9-Hexadecenoic acid, methyl ester, (Z)-";;;"18.682";"83270.340";;"0.015"
"Methyl stearate";;;"22.390";"489379.019";;"0.086"
"9-Octadecenoic acid, methyl ester";;;"23.721";"106046382.549";;"18.560"
"11-Octadecenoic acid, methyl ester";;;"23.892";"2284142.847";;"0.400"
"9,12-Octadecadienoic acid, methyl ester";;;"25.746";"70947678.584";;"12.417"
"Eicosanoic acid, methyl ester";;;"27.592";"236789.274";;"0.041"
"9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-";;;"28.055";"9004352.539";;"1.576"
"cis-Methyl 11-eicosenoate";;;"28.776";"55900872.418";;"9.783"
"cis-13-Eicosenoic acid";;;"28.965";"773316.254";;"0.135"
"11,14-Eicosadienoic acid, methyl ester";;;"30.579";"808455.286";;"0.141"
"13-Docosenoic acid, methyl ester";;;"33.463";"272322501.099";;"47.660"
"Methyl 11-docosenoate";;;"33.566";"2574405.299";;"0.451"
"cis-13,16-Docasadienoic acid";;;"34.982";"1343624.737";;"0.235"
"15-Tetracosenoic acid, methyl ester";;;"37.437";"39476897.280";;"6.909"
"11,14-Eicosadienoic acid, methyl ester";;;"38.862";"114979.579";;"0.020"
"Сумма";;;"";"571385074.007";;"100.000"
"";;;;;;;;

"Оператор:";"";;;;"";;;"Страница 1 из 1"
"Отчет создан:";"2024-02-18 12:45:06";;;;;;;
"";;;;;;;;
